date,All sectors; U.S. wealth,Households and nonprofit organizations; nonfinancial assets,Households and nonprofit organizations; real estate at market value,Nonprofit organizations; equipment, current cost basis,Nonprofit organizations; nonresidential intellectual property products, current cost basis,Households and nonprofit organizations; consumer durable goods, current cost basis,Nonfinancial noncorporate business; nonfinancial assets,Nonfinancial noncorporate business; real estate at market value,Nonfinancial noncorporate business; equipment, current cost basis,Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis,Nonfinancial noncorporate business; inventories,Security brokers and dealers; proprietors' equity in noncorporate business,All domestic sectors; market value estimate of nonfinancial assets,Nonfinancial corporate business; market value estimate of nonfinancial assets,Domestic financial sectors; market value estimate of nonfinancial assets,Federal government; nonfinancial assets (does not include land),Federal government; total residential and nonresidential structures,Federal government; nonresidential equipment, current cost basis,Federal government; nonresidential intellectual property products, current cost basis,State and local governments; nonfinancial assets (does not include land),State and local governments; total residential and nonresidential structures,State and local governments; nonresidential equipment, current cost basis,State and local governments; nonresidential intellectual property products, current cost basis,All domestic sectors; U.S. financial claims on the rest of the world; asset,Rest of the world; total liabilities and equity,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,Rest of the world; total financial liabilities and foreign direct investment: equity,Rest of the world; total financial assets,Rest of the world; U.S. corporate equities; asset,Rest of the world; total financial assets excluding U.S. corporate equities and mutual fund shares,All sectors; U.S. wealth,All sectors; U.S. wealth,All sectors; U.S. wealth,Households and nonprofit organizations; net worth,Households and nonprofit organizations; net worth,Households and nonprofit organizations; net worth
1945:Q4,716494,189324,134635,436,257,53996,188688,151676,10964,1942,24107,0,135449,106297,29152,135721,54203,77510,4008,66207,64931,993,283,1105,14523,942,13581,13418,2700,10718,716494,ND,ND,806613,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,798540,220712,158074,590,292,61756,227819,179671,13074,2162,32912,0,139388,111474,27914,132686,58350,69624,4712,73034,71615,1099,320,4901,16756,1001,15755,11855,2690,9165,798540,82045,11.45093380623129,885213,78599,9.744344437182281
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,913634,280809,206381,768,310,73350,262959,206256,17091,2507,37106,0,140578,113469,27109,124219,60427,58568,5224,93348,91580,1452,316,11721,23622,972,22650,11901,2480,9421,913634,115095,14.41312982863567,984192,98979,11.18140389517455
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,968779,313676,229359,944,310,83063,281247,218473,21751,2667,38356,0,142229,115997,26232,116197,61973,48385,5839,101692,99593,1788,311,13738,26311,944,25367,12573,2305,10268,968779,55145,6.035748627651331,1037009,52817,5.366550361990825
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,988893,340055,246931,1043,315,91766,284457,223629,23747,2777,34304,0,146064,121139,24925,106730,59717,40563,6450,97248,95103,1831,314,14339,27842,708,27134,13503,2490,11013,988893,20114,2.076261424091031,1079406,42397,4.088412478679924
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1093917,387345,278126,1346,345,107528,304104,236564,28425,3009,36106,0,172942,150123,22819,106631,63069,36166,7396,109628,107032,2256,340,13267,29604,1175,28429,16337,2925,13412,1093917,105024,10.62031000611823,1171496,92090,8.531551509152605
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1220891,430981,308963,1592,366,120060,333814,255779,31391,3103,43541,0,198117,176042,22075,120256,71927,39900,8429,123206,120380,2464,362,14517,31671,1390,30281,17154,3450,13704,1220891,126974,11.60726735078469,1280578,109082,9.311300173536333
1952:Q1,1233874,437146,311906,1634,365,123241,336412,257823,31893,3103,43592,0,201326,179258,22068,121850,71817,41423,8610,123195,120306,2530,359,13945,31253,363,30890,17308,3454,13854,1233874,12983,1.063387354398799,1298495,17917,1.399115007076678
1952:Q2,1257592,448860,322754,1682,366,124058,338615,259926,32447,3126,43116,0,204185,182526,21659,124515,72871,42832,8812,126827,123898,2569,360,14590,32485,789,31696,17895,3539,14356,1257592,23718,1.922262842032309,1321042,22548,1.736456901873648
1952:Q3,1270329,453482,324183,1697,369,127233,339342,262026,32452,3181,41682,0,202951,181750,21201,128160,74518,44611,9031,131718,128739,2615,364,14676,33187,1128,32059,18511,3434,15077,1270329,12737,1.012793596107692,1334038,12996,0.983774199934853
1952:Q4,1272403,463972,334895,1728,375,126974,336949,262603,32713,3221,38412,0,194872,174589,20283,130505,74903,46335,9267,130592,127574,2646,372,15513,34068,1459,32609,18555,3705,14850,1272403,2075,0.163321257859925,1338212,4174,0.312867574172764
1953:Q1,1280323,472930,340387,1787,380,130376,335903,262881,33089,3283,36650,0,190810,170603,20207,131996,74987,47505,9504,132496,129388,2736,372,16188,34664,1492,33172,18476,3569,14907,1280323,7920,0.622442038225493,1348600,10387,0.776219516559652
1953:Q2,1281631,481964,347238,1855,386,132485,335536,263388,33681,3326,35141,0,181313,161433,19880,135164,75937,49502,9725,131263,128139,2745,379,16391,35178,1399,33779,18787,3476,15311,1281631,1307,0.102102853717301,1350869,2269,0.168256709574877
1953:Q3,1293822,493031,357332,1926,390,133383,337198,265056,34340,3381,34421,0,176759,157177,19582,137981,76392,51644,9945,132149,128998,2765,386,16704,35908,1290,34618,19204,3430,15774,1293822,12191,0.95122684307938,1365489,14620,1.082302333131446
1953:Q4,1308449,493420,355919,1980,394,135127,337210,264204,34706,3430,34869,0,192738,174080,18658,138681,75199,53327,10155,129389,126196,2799,394,17011,36504,1329,35175,19493,3650,15843,1308449,14627,1.130520499957237,1386237,20748,1.519453217866645
1954:Q1,1325393,498300,357485,2045,399,138371,338557,264500,35127,3518,35412,0,203034,185039,17995,141310,75987,54945,10378,127575,124311,2862,402,16617,36996,1439,35557,20379,3996,16383,1325393,16944,1.294960144804563,1408984,22747,1.640914087279078
1954:Q2,1350485,501393,361814,2109,404,137066,339980,266070,35501,3535,34874,0,216356,199394,16962,143407,76904,55873,10630,132951,129533,3009,409,16398,37465,1554,35911,21067,4353,16714,1350485,25092,1.89319241947231,1430659,21675,1.538366720211621
1954:Q3,1382638,510852,371385,2121,410,136936,342884,269336,35030,3570,34948,0,233825,217925,15900,146517,77496,58111,10910,132794,129274,3103,417,15766,37742,1708,36034,21976,4804,17172,1382638,32153,2.380837677066176,1466907,36247,2.533617478185032
1954:Q4,1402913,520881,379599,2160,417,138705,344492,271288,35046,3603,34554,0,236920,222701,14219,149640,78848,59577,11215,135157,131514,3217,426,15823,38592,1868,36724,22769,5254,17515,1402913,20275,1.4663949544312,1484111,17204,1.172829166336466
1955:Q1,1416230,527824,384467,2175,424,140758,347466,273935,35016,3738,34778,0,241984,227593,14391,148985,78041,59387,11557,133805,130014,3355,436,16166,38932,1934,36998,22766,5407,17359,1416230,13318,0.949278366448475,1505761,21649,1.458748605582635
1955:Q2,1460098,540614,394908,2226,432,143048,350439,277896,35609,3762,33172,0,264538,251051,13487,151243,78382,60920,11941,136975,133076,3452,447,16289,39825,2168,37657,23536,5981,17555,1460098,43867,3.09747324577715,1540805,35044,2.327327093840682
1955:Q3,1506825,555201,406169,2313,442,146277,355167,282691,36767,3811,31898,0,280627,268205,12422,154398,79613,62415,12370,145248,141151,3637,460,16184,40420,2333,38087,24236,6349,17887,1506825,46727,3.200286291764142,1580120,39315,2.551597309238328
1955:Q4,1538488,565459,414487,2412,455,148105,359452,287208,38013,3850,30381,0,288582,276952,11630,158331,80989,64477,12865,150032,145774,3782,476,16632,41138,2439,38699,24506,6575,17931,1538488,31663,2.101337731817993,1600547,20427,1.29277973448867
1956:Q1,1585800,577339,424188,2484,466,150201,366100,292720,38709,3925,30746,0,307263,295969,11294,162456,82202,66841,13413,155948,151563,3894,491,16694,42233,2642,39591,25539,7074,18465,1585800,47311,3.075182935077005,1643304,42757,2.671369909321963
1956:Q2,1605467,588176,433166,2555,479,151976,372304,297111,39220,3975,31998,0,299171,287975,11196,166558,85212,67331,14015,161766,157406,3855,505,17492,43237,2591,40646,25745,6899,18846,1605467,19668,1.240229394612009,1653447,10143,0.617255727615708
1956:Q3,1626795,599584,440946,2651,491,155496,376785,301342,40009,4047,31387,0,294160,283323,10837,171035,88383,67989,14663,167157,162754,3885,518,18074,44455,2565,41890,26381,6805,19576,1626795,21328,1.328476234229798,1672063,18616,1.125905947069677
1956:Q4,1668684,608091,445773,2726,502,159090,378822,302998,40429,4110,31285,0,318509,308577,9932,173094,89332,68423,15339,170002,165507,3966,529,20166,46467,2625,43842,26301,6961,19340,1668684,41888,2.574899388761243,1710505,38441,2.299022166684238
1957:Q1,1677765,619062,453596,2824,516,162126,383076,306042,41294,4200,31540,0,304948,294202,10746,176317,90294,69959,16064,172591,168045,4006,540,21771,47562,2486,45076,25791,6621,19170,1677765,9081,0.544194974851769,1723436,12932,0.756007711202153
1957:Q2,1719128,630621,461358,2873,529,165861,387001,309176,41393,4261,32171,0,322929,313405,9524,178278,91919,69530,16829,177518,172924,4044,550,22781,49531,2645,46886,26750,7112,19638,1719128,41363,2.465379041111161,1760604,37168,2.156609779673401
1957:Q3,1710585,639368,468792,2952,542,167082,391538,312497,41907,4336,32797,0,295944,286237,9707,180384,92652,70121,17611,179027,174353,4112,562,24324,50246,2388,47858,25922,6484,19438,1710585,-8543,-0.496946879886555,1759071,-1532,-0.087043857612699
1957:Q4,1723811,643760,471674,3050,555,168481,393644,313203,42760,4392,33289,0,300434,290963,9471,182371,93488,70483,18400,178248,173484,4190,574,25354,51318,2233,49085,25964,6091,19873,1723811,13226,0.773204455092641,1775857,16785,0.954218849608247
1958:Q1,1741927,644332,468427,3092,571,172242,400103,316188,42744,4500,36671,0,313178,304201,8977,181513,92639,69686,19188,176905,172109,4208,588,25896,52351,2320,50031,26455,6328,20127,1741927,18116,1.050906741938755,1809248,33391,1.88029596102747
1958:Q2,1776396,650040,474349,3155,589,171947,404384,319557,43115,4534,37178,0,328208,320229,7979,184692,94938,69806,19948,182069,177211,4256,602,27003,53879,2514,51365,26876,6840,20036,1776396,34469,1.97878421140563,1836431,27183,1.502460368722029
1958:Q3,1828559,660429,484262,3205,608,172354,407858,321474,43331,4556,38497,0,358018,351178,6840,188342,96788,70864,20690,186946,181991,4337,618,26966,55061,2786,52275,28095,7537,20558,1828559,52164,2.936493959302607,1890534,54102,2.946053008280498
1958:Q4,1862023,670318,493819,3263,628,172608,409858,323570,43677,4596,38015,0,373794,368109,5685,191377,98262,71695,21420,189731,184588,4507,636,26945,56400,3095,53305,29455,8305,21150,1862023,33463,1.830046861234183,1920781,30247,1.599923649135008
1959:Q1,1880710,674228,493678,3341,648,176561,412381,325796,44145,4582,37858,0,381081,375414,5667,192907,98056,72723,22128,193453,188456,4343,654,26660,57028,3193,53835,30368,8475,21893,1880710,18687,1.00357771531362,1941097,20316,1.057701069301592
1959:Q2,1910631,686606,504127,3414,669,178396,415158,328916,44570,4698,36974,0,394609,390113,4496,194597,98094,73668,22835,193512,188365,4476,671,26149,58947,3451,55496,32798,9039,23759,1910631,29921,1.590953228249987,1968830,27733,1.42873455177317
1959:Q3,1917719,697402,513598,3487,690,179627,417184,331781,44945,4825,35634,0,386344,381606,4738,196426,97969,74915,23542,194355,189058,4609,688,26008,59599,3452,56147,33591,8906,24685,1917719,7088,0.371002738371118,1982083,13253,0.673126582331764
1959:Q4,1955455,706025,521544,3550,710,180221,419022,334803,45090,4964,34165,0,411460,407587,3873,198000,97949,75803,24248,195147,189729,4714,704,25801,60375,3689,56686,34574,9363,25211,1955455,37736,1.967750328298244,2015757,33674,1.698911460135654
1960:Q1,1957741,720533,534527,3599,728,181679,423938,338815,45215,4971,34937,0,390380,386175,4205,198836,97775,76077,24984,197145,191590,4836,719,26909,61218,3544,57674,34309,8811,25498,1957741,2285,0.116868596101523,2024152,8396,0.416509717901627
1960:Q2,1980601,726937,539185,3672,747,183333,427152,342539,45554,4980,34080,0,399925,397227,2698,199945,97388,76806,25751,199370,193701,4932,737,27272,62507,3753,58754,35235,9081,26154,1980601,22861,1.167698147183318,2042171,18019,0.890176058058986
1960:Q3,1972356,734743,545818,3726,766,184433,431470,346090,45617,5057,34705,0,372691,370252,2439,203794,99527,77741,26526,202031,196252,5024,755,27627,63098,3580,59518,35471,8460,27011,1972356,-8246,-0.41632229762562,2037561,-4610,-0.225732569597828
1960:Q4,2028797,737554,547589,3760,784,185421,434721,349081,45486,5154,35000,0,418410,418366,44,205213,99524,78386,27303,204358,198461,5123,774,28541,65461,3984,61477,36920,9302,27618,2028797,56442,2.861641022313726,2090794,53233,2.612578536168169
1961:Q1,2077037,736012,545980,3809,807,185416,439313,353486,45387,5189,35250,0,460327,462098,-1771,205643,98066,79476,28101,207217,201205,5219,793,28525,67165,4479,62686,38640,10468,28172,2077037,48239,2.377733385367312,2141244,50451,2.412987264503244
1961:Q2,2099048,748140,556950,3863,830,186497,444443,359271,45357,5253,34562,0,457979,460932,-2953,208956,99986,80031,28939,210077,203955,5309,813,29453,68251,4440,63811,38798,10536,28262,2099048,22011,1.059725691731703,2163943,22698,1.060049232304117
1961:Q3,2132924,759563,567010,3919,855,187779,451106,364646,45327,5365,35768,0,469130,472830,-3700,210214,99423,80981,29810,212982,206750,5398,834,29929,70358,4524,65834,40429,10900,29529,2132924,33877,1.613907466008362,2200395,36452,1.6845361301905
1961:Q4,2197391,769627,576368,3989,882,188388,457534,370084,45399,5480,36571,0,506973,490857,16116,215738,103011,82023,30704,216826,210486,5485,855,30693,72101,4902,67199,41408,11808,29600,2197391,64467,3.022460303925724,2256322,55927,2.541677719292903
1962:Q1,2209430,779418,584759,4053,914,189692,464445,375806,45610,5497,37532,0,495628,480596,15032,217177,102859,82733,31585,221114,214663,5572,879,31648,73513,4878,68635,41865,11548,30317,2209430,12038,0.547853374981554,2269290,12968,0.57475664679203
1962:Q2,2118030,786529,590011,4122,946,191450,470224,381404,45860,5560,37400,0,381500,380584,916,220171,103376,84311,32484,225090,218520,5670,900,34516,74099,3847,70252,39583,8793,30790,2118030,-91399,-4.136779433600966,2174501,-94789,-4.17704015834545
1962:Q3,2163021,793700,594920,4191,979,193610,476883,386448,46104,5608,38723,0,402799,400127,2672,226509,106916,86187,33406,228173,221486,5764,923,34957,75385,4185,71200,40428,9267,31161,2163021,44990,2.124161953520174,2213953,39452,1.814308390388606
1962:Q4,2274609,803579,603604,4245,1011,194719,482177,391707,46183,5680,38607,0,491602,481109,10493,230254,107166,88720,34368,232175,225373,5856,946,34822,77078,4714,72364,42256,10336,31920,2274609,111588,5.158904791120305,2318958,105004,4.742845556104756
1963:Q1,2320785,813445,611427,4309,1046,196663,486141,395833,46456,5672,38180,0,518713,504640,14073,231593,107774,88354,35465,235562,228614,5976,972,35331,79175,4943,74232,43844,10950,32894,2320785,46176,2.030082855488277,2353298,34340,1.480830017228294
1963:Q2,2361122,817644,612853,4372,1085,199334,488799,398720,46718,5734,37628,0,543580,525648,17932,235393,109318,89374,36701,239747,232637,6110,1000,35959,81622,5053,76569,45663,11526,34137,2361122,40337,1.738082309659599,2385486,32188,1.36779354447801
1963:Q3,2404650,830885,623306,4448,1125,202006,490280,400424,47119,5832,36905,0,566570,544521,22049,237895,110582,89225,38088,243351,236078,6242,1031,35669,82575,5094,77481,46906,12031,34875,2404650,43528,1.843520591971559,2427373,41887,1.755911137836083
1963:Q4,2406687,839160,628622,4529,1168,204841,495123,405397,47570,5958,36198,0,546786,527849,18937,240733,110868,90317,39548,248056,240596,6396,1064,36829,84233,5145,79088,47404,12485,34919,2406687,2037,0.084693979731879,2422304,-5069,-0.20883985604445
1964:Q1,2452447,843875,630274,4611,1211,207779,497956,408367,48049,5982,35558,0,577742,555542,22200,243250,111753,90463,41034,251895,244260,6538,1097,37729,86018,5300,80718,48289,13137,35152,2452447,45760,1.901366101820955,2468832,46528,1.920830609644682
1964:Q2,2503565,860171,643749,4697,1252,210473,505964,416480,48569,6064,34852,0,596449,572261,24188,246568,112748,91353,42467,256035,248203,6701,1131,38378,87613,5332,82281,49235,13468,35767,2503565,51119,2.08439478539269,2513046,44214,1.790890668286311
1964:Q3,2545056,869243,649814,4785,1294,213350,511994,421549,49076,6135,35234,0,616316,590228,26088,248647,113400,91414,43833,260245,252231,6850,1164,38611,89549,5352,84197,50938,13766,37172,2545056,41490,1.657252253476799,2559502,46456,1.848583194884813
1964:Q4,2596591,884106,662499,4873,1334,215400,521649,430762,49565,6186,35136,0,638606,615815,22791,250988,114031,91830,45127,264751,256533,7023,1195,36491,92885,5270,87615,56394,13835,42559,2596591,51535,2.02491924341028,2603766,44264,1.729406101180179
1965:Q1,2642594,895205,669614,4969,1375,219247,529002,436131,50330,6223,36318,0,656546,631768,24778,252626,114950,91259,46417,270614,262188,7197,1229,38601,95168,5180,89988,56567,13914,42653,2642594,46003,1.771661824942817,2647483,43717,1.679003028876805
1965:Q2,2649452,903705,675093,5055,1420,222137,536956,441749,50958,6304,37945,0,633962,613415,20547,257209,117306,92105,47798,276863,268229,7370,1264,40757,97094,4809,92285,56337,13279,43058,2649452,6858,0.259533314653783,2644419,-3065,-0.115753741218782
1965:Q3,2727017,912547,681036,5170,1468,224873,542737,446931,51828,6405,37573,0,689814,664066,25748,258922,117395,92251,49276,282442,273627,7511,1304,40555,98686,5041,93645,58131,14296,43835,2727017,77564,2.92755241666842,2722245,77827,2.943055015493674
1965:Q4,2817395,930942,696286,5257,1522,227877,556907,458451,52384,6463,39609,0,731114,701781,29333,262979,119241,92859,50879,288476,279422,7708,1346,46977,106076,5048,101028,59099,14599,44500,2817395,90379,3.314204502689592,2802655,80410,2.953801014466972
1966:Q1,2820012,935825,696079,5366,1573,232807,562677,461800,53219,6545,41113,0,712791,686597,26194,265698,120999,92154,52545,294373,285069,7912,1392,48648,107344,4846,102498,58696,14027,44669,2820012,2617,0.092870050663534,2809260,6605,0.235658722644517
1966:Q2,2866161,971324,726016,5501,1626,238181,579295,476890,54300,6605,41501,0,687797,664686,23111,271968,124022,93720,54226,304753,295191,8124,1438,51024,109520,4592,104928,58496,12923,45573,2866161,46150,1.636502472793195,2841437,32177,1.145395488501617
1966:Q3,2829270,979823,728570,5636,1681,243936,586274,481986,55400,6636,42252,0,625258,611361,13897,274953,125020,94024,55909,311212,301397,8330,1485,51750,110537,4122,106415,58787,11455,47332,2829270,-36891,-1.287129574204461,2813105,-28332,-0.997096121803675
1966:Q4,2927488,1005994,748935,5795,1738,249526,597837,493570,56839,6690,40738,0,676093,645873,30220,278893,125613,95719,57561,318877,308731,8612,1534,49794,111570,4324,107246,61776,12643,49133,2927488,98218,3.47148352929265,2902140,89035,3.1650175801188
1967:Q1,3034316,1013807,753320,5920,1795,252772,603396,498692,57690,6681,40333,0,761017,726471,34546,282480,127263,95982,59235,325805,315386,8834,1585,47811,113787,4875,108912,65976,16002,49974,3034316,106828,3.649123137067995,3008271,106131,3.656984497404983
