date,All sectors; open market paper; liability,All sectors; commercial paper; liability,Nonfinancial corporate business; commercial paper; liability,Rest of the world; commercial paper; liability,Rest of the world; commercial paper issued by nonfinancial firms; liability,Rest of the world; commercial paper issued by financial firms; liability,Domestic financial sectors; commercial paper; liability,U.S.-chartered depository institutions; asset-backed commercial paper; liability,Foreign banking offices in the U.S.; asset-backed commercial paper; liability,Issuers of asset-backed securities; commercial paper, excluding U.S.-chartered commercial banks' asset-backed commercial paper; liability,Finance companies; commercial paper; liability,Mortgage real estate investment trusts; commercial paper; liability,Holding companies; commercial paper; liability,Other financial business; commercial paper; liability,Private depository institutions; bankers' acceptances; liability,U.S.-chartered depository institutions; bankers' acceptances; liability,Foreign banking offices in the U.S.; bankers' acceptances; liability,All sectors; open market paper; liability,Nonfinancial corporate business; commercial paper; asset,State and local governments; commercial paper; asset,Monetary authority; bankers' acceptances; asset,U.S.-chartered depository institutions; open market paper; asset,Foreign banking offices in the U.S.; bankers' acceptances; asset,Credit unions; commercial paper held by Corporate Credit Unions; asset,Property-casualty insurance companies; commercial paper, including those held by U.S. residual market reinsurers; asset,Life insurance companies; commercial paper; asset,Private pension funds; total commercial paper; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,Money market funds; open market paper; asset,Mutual funds; commercial paper; asset,Government-sponsored enterprises; commercial paper; asset,Security brokers and dealers; commercial paper; asset,Other financial business; commercial paper; asset,Rest of the world; commercial paper; asset
1945:Q4,315,159,95,0,0,0,64,0,0,0,64,0,0,0,156,125,31,315,0,0,0,210,13,0,0,0,0,0,0,25,0,0,25,42
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,573,344,137,0,0,0,207,0,0,0,207,0,0,0,229,183,46,573,32,0,0,304,25,0,0,0,0,0,0,35,0,0,119,58
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,765,501,172,0,0,0,329,0,0,0,329,0,0,0,264,211,53,765,129,0,0,366,32,0,0,0,0,0,0,36,0,0,138,64
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,936,674,166,0,0,0,508,0,0,0,508,0,0,0,262,210,52,936,180,0,0,298,42,0,0,0,0,0,0,35,0,0,268,113
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1113,838,162,0,0,0,676,0,0,0,676,0,0,0,275,220,55,1113,265,0,0,261,56,0,0,0,0,0,0,42,0,0,345,144
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1319,921,207,0,0,0,714,0,0,0,714,0,0,0,398,318,80,1319,143,0,0,368,66,0,0,0,0,0,0,49,0,0,491,202
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1828,1333,269,0,0,0,1064,0,0,0,1064,0,0,0,495,396,99,1828,90,0,0,427,84,0,0,0,0,0,0,72,0,0,862,293
1952:Q1,2109,1646,328,0,0,0,1318,0,0,0,1318,0,0,0,463,370,93,2109,138,0,0,461,98,0,0,0,0,0,0,77,0,0,1054,281
1952:Q2,2227,1807,304,0,0,0,1503,0,0,0,1503,0,0,0,420,336,84,2227,432,0,0,400,103,0,0,0,0,0,0,66,0,0,958,268
1952:Q3,2436,1977,346,0,0,0,1631,0,0,0,1631,0,0,0,459,367,92,2436,411,0,0,493,77,0,0,0,0,0,0,60,0,0,1107,288
1952:Q4,2246,1749,331,0,0,0,1418,0,0,0,1418,0,0,0,497,398,99,2246,195,0,0,472,97,0,0,0,0,0,0,67,0,0,1106,309
1953:Q1,2440,1980,370,0,0,0,1610,0,0,0,1610,0,0,0,460,368,92,2440,212,0,0,425,87,0,0,0,0,0,0,70,0,0,1340,306
1953:Q2,2248,1816,297,0,0,0,1519,0,0,0,1519,0,0,0,432,346,86,2248,194,0,0,331,84,0,0,0,0,0,0,61,0,0,1273,305
1953:Q3,2576,2056,347,0,0,0,1709,0,0,0,1709,0,0,0,520,416,104,2576,214,0,0,431,69,0,0,0,0,0,0,59,0,0,1447,356
1953:Q4,2624,2045,402,0,0,0,1643,0,0,0,1643,0,0,0,579,463,116,2624,204,0,0,477,90,0,0,0,0,0,0,78,0,0,1374,401
1954:Q1,2979,2393,525,0,0,0,1868,0,0,0,1868,0,0,0,586,469,117,2979,312,0,0,630,83,0,0,0,0,0,0,74,0,0,1498,382
1954:Q2,2839,2244,484,0,0,0,1760,0,0,0,1760,0,0,0,595,476,119,2839,338,0,0,614,81,0,0,0,0,0,0,69,0,0,1368,369
1954:Q3,2915,2300,584,0,0,0,1716,0,0,0,1716,0,0,0,615,492,123,2915,300,0,0,751,70,0,0,0,0,0,0,72,0,0,1372,350
1954:Q4,2904,2022,531,0,0,0,1491,0,0,0,1491,0,0,0,882,706,176,2904,291,0,0,707,95,0,0,0,0,0,0,78,0,0,1149,584
1955:Q1,3112,2297,500,0,0,0,1797,0,0,0,1797,0,0,0,815,652,163,3112,281,0,0,631,82,0,0,0,0,0,0,95,0,0,1456,567
1955:Q2,3047,2385,380,0,0,0,2005,0,0,0,2005,0,0,0,662,530,132,3047,352,0,16,502,80,0,0,0,0,0,0,92,0,0,1548,457
1955:Q3,3020,2342,371,0,0,0,1971,0,0,0,1971,0,0,0,678,542,136,3020,245,0,19,525,60,0,0,0,0,0,0,104,0,0,1607,460
1955:Q4,2749,2101,362,0,0,0,1739,0,0,0,1739,0,0,0,648,518,130,2749,217,0,24,457,75,0,0,0,0,0,0,92,0,0,1445,439
1956:Q1,3326,2659,362,0,0,0,2297,0,0,0,2297,0,0,0,667,534,133,3326,171,0,15,493,69,0,0,0,0,0,0,135,0,0,1967,476
1956:Q2,3221,2530,289,0,0,0,2241,0,0,0,2241,0,0,0,691,553,138,3221,325,0,18,442,71,0,0,0,0,0,0,99,0,0,1780,486
1956:Q3,3401,2588,401,0,0,0,2187,0,0,0,2187,0,0,0,813,650,163,3401,371,0,17,528,65,0,0,0,0,0,0,120,0,0,1721,579
1956:Q4,3227,2250,378,0,0,0,1872,0,0,0,1872,0,0,0,977,782,195,3227,305,0,34,500,81,0,0,0,0,0,0,108,0,0,1528,671
1957:Q1,3793,2764,353,0,0,0,2411,0,0,0,2411,0,0,0,1029,823,206,3793,355,0,23,482,69,0,0,0,0,0,0,121,0,0,1956,787
1957:Q2,3515,2526,320,0,0,0,2206,0,0,0,2206,0,0,0,989,791,198,3515,349,0,23,433,68,0,0,0,0,0,0,126,0,0,1743,773
1957:Q3,3845,2636,364,0,0,0,2272,0,0,0,2272,0,0,0,1209,967,242,3845,345,0,17,516,49,0,0,0,0,0,0,119,0,0,1832,967
1957:Q4,4066,2746,422,0,0,0,2324,0,0,0,2324,0,0,0,1320,1056,264,4066,435,0,43,610,63,0,0,0,0,0,0,123,0,0,1838,954
1958:Q1,5152,3608,716,0,0,0,2892,0,0,0,2892,0,0,0,1544,1235,309,5152,746,0,29,973,52,0,0,0,0,0,0,153,0,0,2132,1067
1958:Q2,4873,3507,791,0,0,0,2716,0,0,0,2716,0,0,0,1366,1093,273,4873,455,0,35,1013,59,0,0,0,0,0,0,183,0,0,2217,911
1958:Q3,4573,3279,795,0,0,0,2484,0,0,0,2484,0,0,0,1294,1035,259,4573,224,0,18,1013,43,0,0,0,0,0,0,172,0,0,2235,868
1958:Q4,4053,2847,658,0,0,0,2189,0,0,0,2189,0,0,0,1206,965,241,4053,210,0,43,818,72,0,0,17,0,0,0,117,0,0,1933,843
1959:Q1,4444,3379,652,0,0,0,2727,0,0,0,2727,0,0,0,1065,852,213,4444,502,0,12,822,67,0,0,124,0,0,0,149,0,0,2015,753
1959:Q2,4494,3501,458,0,0,0,3043,0,0,0,3043,0,0,0,993,794,199,4494,622,0,6,656,67,0,0,215,0,0,0,151,0,0,2033,744
1959:Q3,4412,3448,527,0,0,0,2921,0,0,0,2921,0,0,0,964,771,193,4412,240,0,0,752,54,0,0,200,0,0,0,187,0,0,2250,729
1959:Q4,4365,3202,315,0,0,0,2887,0,0,0,2887,0,0,0,1163,930,233,4365,742,0,44,711,82,0,0,118,0,0,0,152,0,0,1759,757
1960:Q1,5875,4495,427,0,0,0,4068,0,0,0,4068,0,0,0,1380,1104,276,5875,740,0,7,755,53,0,0,137,0,0,0,180,0,0,2920,1083
1960:Q2,6023,4627,547,0,0,0,4080,0,0,0,4080,0,0,0,1396,1117,279,6023,757,0,5,826,61,0,0,176,0,0,0,189,0,0,2968,1041
1960:Q3,6413,4728,782,0,0,0,3946,0,0,0,3946,0,0,0,1685,1348,337,6413,648,0,8,959,55,0,0,249,0,0,0,209,0,0,3051,1234
1960:Q4,6544,4497,769,0,0,0,3728,0,0,0,3728,0,0,0,2047,1638,409,6544,788,0,54,1114,99,0,0,294,0,0,0,177,0,0,2727,1291
1961:Q1,7331,5078,623,0,0,0,4455,0,0,0,4455,0,0,0,2253,1802,451,7331,562,0,35,1321,182,0,0,360,0,0,0,240,0,0,3288,1343
1961:Q2,7230,4936,726,0,0,0,4210,0,0,0,4210,0,0,0,2294,1835,459,7230,613,0,26,1413,167,0,0,324,0,0,0,203,0,0,3162,1322
1961:Q3,7321,4875,1017,0,0,0,3858,0,0,0,3858,0,0,0,2446,1957,489,7321,245,0,23,1697,160,0,0,332,0,0,0,256,0,0,3167,1441
1961:Q4,7396,4686,1094,0,0,0,3592,0,0,0,3592,0,0,0,2710,2168,542,7396,1089,0,48,2019,151,0,0,193,0,0,0,174,0,0,2362,1360
1962:Q1,8238,5715,1131,0,0,0,4584,0,0,0,4584,0,0,0,2523,2018,505,8238,562,0,21,1908,128,0,0,513,0,0,0,316,0,0,3406,1384
1962:Q2,8230,5865,1092,0,0,0,4773,0,0,0,4773,0,0,0,2365,1892,473,8230,907,0,40,1687,145,0,0,521,0,0,0,254,0,0,3359,1317
1962:Q3,8881,6577,1363,0,0,0,5214,0,0,0,5214,0,0,0,2304,1843,461,8881,1079,0,14,1826,139,0,0,643,0,0,0,273,0,0,3614,1293
1962:Q4,8676,6000,1198,0,0,0,4802,0,0,0,4802,0,0,0,2676,2141,535,8676,1304,0,52,1867,148,0,0,347,0,0,0,289,0,0,3282,1387
1963:Q1,9716,7101,1214,0,0,0,5887,0,0,0,5887,0,0,0,2615,2092,523,9716,1092,0,29,1982,163,0,0,599,0,0,0,316,0,0,4165,1370
1963:Q2,9977,7253,987,0,0,0,6266,0,0,0,6266,0,0,0,2724,2179,545,9977,1008,0,23,1928,165,0,0,487,0,0,0,289,0,0,4650,1427
1963:Q3,9922,7186,1111,0,0,0,6075,0,0,0,6075,0,0,0,2736,2189,547,9922,445,0,16,1791,157,0,0,619,0,0,0,286,0,0,5040,1568
1963:Q4,9709,6790,968,0,0,0,5822,0,0,0,5822,0,0,0,2919,2335,584,9709,969,0,70,1885,159,0,0,380,0,0,0,307,0,0,4502,1437
1964:Q1,10923,7790,948,0,0,0,6842,0,0,0,6842,0,0,0,3133,2506,627,10923,1341,0,40,2045,180,0,0,506,0,0,0,290,0,0,4939,1582
1964:Q2,11276,8096,889,0,0,0,7207,0,0,0,7207,0,0,0,3180,2544,636,11276,1058,0,23,1955,176,0,0,297,0,0,0,334,0,0,5737,1696
1964:Q3,11735,8528,1081,0,0,0,7447,0,0,0,7447,0,0,0,3207,2566,641,11735,1729,0,59,2166,188,0,0,373,0,0,0,263,0,0,5304,1653
1964:Q4,11861,8442,1125,0,0,0,7317,0,0,0,7317,0,0,0,3419,2735,684,11861,1694,0,59,2338,167,0,0,248,0,0,0,281,0,0,5454,1620
1965:Q1,12535,9177,847,0,0,0,8330,0,0,0,8330,0,0,0,3358,2686,672,12535,995,0,93,1863,221,0,0,474,0,0,0,387,0,0,6617,1885
1965:Q2,12891,9502,727,0,0,0,8775,0,0,0,8775,0,0,0,3389,2711,678,12891,678,0,3,2057,196,0,0,579,0,0,0,405,0,0,7114,1859
1965:Q3,13210,9863,926,0,0,0,8937,0,0,0,8937,0,0,0,3347,2678,669,13210,893,0,11,2129,199,0,0,741,0,0,0,438,0,0,6859,1940
1965:Q4,12726,9300,797,0,0,0,8503,0,0,0,8503,0,0,0,3426,2741,685,12726,1370,0,75,1787,183,0,0,293,0,0,0,496,0,0,6540,1982
1966:Q1,14456,11034,820,0,0,0,10214,0,0,0,10214,0,0,0,3422,2738,684,14456,2375,0,30,1827,204,0,0,286,0,0,0,493,0,0,7245,1996
1966:Q2,14545,11091,861,0,0,0,10230,0,0,0,10230,0,0,0,3454,2763,691,14545,2473,0,138,1499,201,0,0,219,0,0,0,583,0,0,7311,2121
1966:Q3,15527,12123,1466,0,0,0,10657,0,0,0,10657,0,0,0,3404,2723,681,15527,1952,0,48,1562,229,0,0,298,0,0,0,794,0,0,8256,2388
1966:Q4,17284,13645,1622,0,0,0,12023,0,0,0,12023,0,0,0,3639,2911,728,17284,2852,0,69,1703,240,0,0,380,0,0,0,767,0,0,9061,2212
1967:Q1,20234,16493,2677,0,0,0,13816,0,0,0,13816,0,0,0,3741,2993,748,20234,3495,0,0,2360,278,0,0,553,0,0,0,733,0,0,10587,2228
1967:Q2,20779,16607,3242,0,0,0,13365,0,0,0,13365,0,0,0,4172,3338,834,20779,3418,0,36,2552,266,0,0,865,0,0,0,801,0,0,10607,2234
1967:Q3,20941,16754,3264,0,0,0,13490,0,0,0,13490,0,0,0,4187,3350,837,20941,3916,0,60,2816,275,0,0,1138,0,0,0,775,0,0,9806,2155
1967:Q4,21445,17085,3034,0,0,0,14051,0,0,0,14051,0,0,0,4360,3488,872,21445,3952,0,75,2650,261,0,0,480,0,0,0,823,0,0,10957,2247
1968:Q1,23506,19127,3482,0,0,0,15645,0,0,0,15645,0,0,0,4379,3503,876,23506,3819,0,100,2935,286,0,0,676,0,0,0,1376,0,0,11952,2362
1968:Q2,23840,19511,3400,0,0,0,16111,0,0,0,16111,0,0,0,4329,3463,866,23840,4603,0,134,2620,303,0,0,670,0,0,0,1113,0,0,11922,2475
1968:Q3,25346,20976,4928,0,0,0,16048,0,0,0,16048,0,0,0,4370,3496,874,25346,5071,0,49,3025,323,0,0,801,0,0,0,1171,0,0,12379,2527
1968:Q4,25645,21173,4249,0,0,0,16924,0,0,0,16924,0,0,0,4472,3578,894,25645,5099,0,58,2606,318,0,0,526,0,0,0,1022,0,0,13190,2826
1969:Q1,28933,24424,4880,0,0,0,19544,0,0,0,19344,0,200,0,4509,3607,902,28933,6207,0,74,2919,359,0,0,854,0,0,0,1380,0,0,14269,2871
1969:Q2,31731,26802,4914,0,0,0,21888,0,0,0,20643,0,1245,0,4929,3943,986,31731,6806,0,41,3069,391,0,0,698,0,0,0,1489,0,0,15811,3426
1969:Q3,35763,30479,5778,0,0,0,24701,0,0,0,22106,0,2595,0,5284,4227,1057,35763,7206,0,60,3145,451,0,0,1019,0,0,0,1692,0,0,18346,3844
1969:Q4,38106,32600,5356,0,0,0,27244,0,0,0,22950,0,4294,0,5506,4405,1101,38106,7628,0,64,3021,503,0,0,1365,0,0,0,1586,0,0,20119,3820
1970:Q1,43690,38284,7044,0,0,0,31240,0,0,0,24763,0,6477,0,5406,4325,1081,43690,8156,0,76,2965,643,0,0,1715,0,0,0,1785,0,0,24448,3902
1970:Q2,44985,38952,6895,0,0,0,32057,0,0,0,24454,0,7603,0,6033,4826,1207,44985,8432,0,32,3221,638,0,0,1655,0,0,0,917,0,0,25738,4352
1970:Q3,41147,35241,7361,0,0,0,27880,0,0,0,23262,0,4618,0,5906,4725,1181,41147,8433,0,87,3762,807,0,0,2519,0,0,0,1886,0,0,19444,4209
1970:Q4,40200,33071,7133,0,0,0,25938,0,0,0,23589,0,2349,0,7129,5703,1426,40200,9389,0,57,4064,873,0,0,2142,0,0,0,1400,0,0,17968,4307
1971:Q1,39940,32695,8333,0,0,0,24362,0,0,0,22670,0,1692,0,7245,5796,1449,39940,9954,0,88,4517,841,0,0,3018,0,0,0,1218,0,0,16102,4202
1971:Q2,38623,30902,6856,0,0,0,24046,0,0,0,22313,0,1733,0,7721,6177,1544,38623,9791,0,12,4246,821,0,0,3679,0,0,0,1097,0,0,14861,4116
1971:Q3,39911,31682,7434,0,0,0,24248,0,0,0,22036,312,1900,0,8229,6583,1646,39911,10510,0,41,4359,877,0,0,4078,0,0,0,1027,0,0,14755,4264
1971:Q4,40094,32126,6247,0,0,0,25879,0,0,0,23126,780,1973,0,7968,6374,1594,40094,11275,0,80,4505,944,0,0,2770,0,0,0,1302,0,0,15070,4148
1972:Q1,41680,33615,7538,0,0,0,26077,0,0,0,22583,1322,2172,0,8065,6452,1613,41680,12388,0,19,3873,1014,0,0,3952,308,0,0,1347,0,250,14346,4183
1972:Q2,41506,34366,8126,0,0,0,26240,0,0,0,22332,1937,1971,0,7140,5712,1428,41506,13219,0,23,3698,1011,0,0,3564,794,0,0,1223,0,500,13295,4179
1972:Q3,40680,34012,7761,0,0,0,26251,0,0,0,21283,2600,2368,0,6668,5334,1334,40680,13513,0,10,3443,1126,0,0,4799,1322,0,0,1342,431,750,10805,3139
1972:Q4,41688,34721,6968,0,0,0,27753,0,0,0,21876,3240,2637,0,6967,5574,1393,41688,14235,0,70,4265,1203,0,0,2981,1755,0,0,1173,414,1000,10506,4086
1973:Q1,40980,34052,5871,0,0,0,28181,0,0,0,21625,3100,3456,0,6928,5542,1386,40980,13258,0,144,2965,1410,0,0,5237,2104,0,0,1647,159,1250,8710,4096
1973:Q2,43095,35786,6032,0,0,0,29754,0,0,0,22350,3121,4283,0,7309,5847,1462,43095,13437,0,66,2619,1615,0,0,4479,2382,0,0,1801,190,1500,10720,4286
1973:Q3,45893,37641,6335,0,0,0,31306,0,0,0,22155,3920,5231,0,8252,6602,1650,45893,13633,0,57,3362,1337,0,0,4100,2677,0,0,1980,94,1750,11639,5264
1973:Q4,50054,41073,8382,0,0,0,32691,0,0,0,23835,3975,4881,0,8981,7185,1796,50054,14876,0,68,3525,1441,0,0,3004,3079,0,0,1671,221,2000,15782,4387
1974:Q1,54958,44690,9235,15,15,0,35440,0,0,0,26015,3380,6045,0,10268,8214,2054,54958,16212,0,30,3682,1606,0,0,4414,3554,0,185,1757,343,2250,16425,4500
1974:Q2,58152,44846,9967,1,1,0,34878,0,0,0,26362,1564,6952,0,13306,10645,2661,58152,15131,0,104,3984,1841,0,0,3882,4069,0,353,1871,261,2500,19556,4600
1974:Q3,65361,49166,12569,90,90,0,36507,0,0,0,26973,895,8639,0,16195,12956,3239,65361,16933,0,190,4123,1867,0,0,3874,4670,0,578,1693,267,2750,23716,4700
1974:Q4,67813,49144,12513,181,181,0,36450,0,0,0,27408,710,8332,0,18669,14935,3734,67813,16520,0,579,4297,2094,0,0,4070,5403,0,645,1407,1097,3000,23901,4800
1975:Q1,69744,50827,14009,255,255,0,36563,0,0,0,26866,743,8954,0,18917,15134,3783,69744,6255,0,628,5685,1684,0,0,4682,6329,0,1050,1543,1799,3250,31889,4950
1975:Q2,66683,48766,11658,388,388,0,36720,0,0,0,27089,840,8791,0,17917,14334,3583,66683,6685,0,282,5165,2043,0,0,4768,7508,0,788,1345,1717,3500,27782,5100
1975:Q3,65215,48257,11780,407,407,0,36070,0,0,0,26488,784,8798,0,16958,13566,3392,65215,7267,0,474,6004,2007,0,0,6394,8447,0,738,1076,867,3750,22991,5200
1975:Q4,66604,47690,9616,559,559,0,37515,0,0,0,28032,829,8654,0,18914,15131,3783,66604,8371,0,741,8087,2084,0,0,4813,9066,0,528,1341,1186,4000,21087,5300
1976:Q1,68428,49338,10926,707,707,0,37705,0,0,0,28632,646,8427,0,19090,15272,3818,68428,9324,0,540,7390,2110,0,0,5247,9892,0,714,723,1595,3999,21519,5375
1976:Q2,70028,50047,11818,920,920,0,37309,0,0,0,28694,607,8008,0,19981,15985,3996,70028,9073,0,361,7625,2015,0,0,6053,10440,0,837,742,1860,3492,22080,5450
1976:Q3,69647,49852,10889,1140,1140,0,37823,0,0,0,29266,663,7894,0,19795,15836,3959,69647,9486,0,88,8559,2386,0,0,6264,10756,0,772,570,1330,4287,19624,5525
