date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Ratio to GDP,Households and Nonprofits; Ratio to GDP,Nonfinancial Business; Ratio to GDP,Federal Government; Ratio to GDP,State and Local Governments; Ratio to GDP,Nonfinancial Corporate Business; Ratio to GDP,Nonfinancial Noncorporate Business; Ratio to GDP,Noncorporate Nonmortgage Depository Loans; Ratio to GDP,Noncorporate Mortgages; Ratio to GDP,Noncorporate Other Nonfinancial Debt; Ratio to GDP,Corporate Bonds; Ratio to GDP,Corporate Nonmortgage Depository Loans; Ratio to GDP,Corporate Mortgages; Ratio to GDP,Corporate Commercial Paper; Ratio to GDP,Corporate Other; Ratio to GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
2021:Q4,65059542,17932849,18541004,25314346,3271343,24008472,8.24,7.978,6.668,10.804,-0.893,11650471,6890532,1569229,4911439,409864,6652249,1066571,859285,138243,2934123,2.71,0.747,0.772,1.054,0.136,0.485,0.287,0.065,0.205,0.017,0.277,0.044,0.036,0.006,0.122,0.276,0.285,0.389,0.05,0.628,0.372,0.228,0.713,0.059,0.571,0.092,0.074,0.012,0.252
2021:Q3,63747647,17583334,18237084,24648566,3278662,23202344,2.609,6.162,4.728,-1.323,1.855,11458088,6778996,1548391,4827513,403093,6690997,1005716,812894,123108,2825373,2.747,0.758,0.786,1.062,0.141,0.494,0.292,0.067,0.208,0.017,0.288,0.043,0.035,0.005,0.122,0.276,0.286,0.387,0.051,0.628,0.372,0.228,0.712,0.059,0.584,0.088,0.071,0.011,0.247
2021:Q2,63324886,17317446,18013562,24730352,3263527,22740959,6.517,7.736,1.834,9.585,3.181,11260712,6752849,1607599,4757266,387984,6622345,1038852,773906,110147,2715462,2.785,0.762,0.792,1.087,0.144,0.495,0.297,0.071,0.209,0.017,0.291,0.046,0.034,0.005,0.119,0.273,0.284,0.391,0.052,0.625,0.375,0.238,0.704,0.057,0.588,0.092,0.069,0.01,0.241
2021:Q1,62310708,16989871,17931420,24151638,3237779,22038226,6.8,6.711,4.585,8.985,3.415,11215097,6716323,1654623,4699068,362632,6604261,1119953,745489,79093,2666301,2.827,0.771,0.814,1.096,0.147,0.509,0.305,0.075,0.213,0.016,0.3,0.051,0.034,0.004,0.121,0.273,0.288,0.388,0.052,0.625,0.375,0.246,0.7,0.054,0.589,0.1,0.066,0.007,0.238
2020:Q4,61270383,16710657,17728293,23621060,3210373,21477597,5.101,6.08,0.497,8.42,1.539,11074946,6653346,1654539,4646361,352447,6490923,1111758,724039,132202,2616024,2.853,0.778,0.825,1.1,0.149,0.516,0.31,0.077,0.216,0.016,0.302,0.052,0.034,0.006,0.122,0.273,0.289,0.386,0.052,0.625,0.375,0.249,0.698,0.053,0.586,0.1,0.065,0.012,0.236
2020:Q3,60500486,16461934,17706382,23134099,3198072,21138574,4.133,5.551,0.131,6.032,5.571,11080080,6626302,1716276,4575561,334465,6492671,1178190,713735,103707,2591777,2.862,0.779,0.838,1.094,0.151,0.524,0.313,0.081,0.216,0.016,0.307,0.056,0.034,0.005,0.123,0.272,0.293,0.382,0.053,0.626,0.374,0.259,0.691,0.05,0.586,0.106,0.064,0.009,0.234
2020:Q2,59884022,16238723,17700740,22790415,3154145,19477444,26.737,-0.102,15.22,62.502,3.528,11168728,6532011,1709705,4518915,303392,6433686,1366931,703235,121359,2543517,3.075,0.834,0.909,1.17,0.162,0.573,0.335,0.088,0.232,0.016,0.33,0.07,0.036,0.006,0.131,0.271,0.296,0.381,0.053,0.631,0.369,0.262,0.692,0.046,0.576,0.122,0.063,0.011,0.228
2020:Q1,56133875,16244734,17052034,19710539,3126568,21481367,11.665,3.569,18.883,14.089,0.967,10756185,6295849,1573440,4462267,260143,5998461,1367638,692952,189173,2507961,2.613,0.756,0.794,0.918,0.146,0.501,0.293,0.073,0.208,0.012,0.279,0.064,0.032,0.009,0.117,0.289,0.304,0.351,0.056,0.631,0.369,0.25,0.709,0.041,0.558,0.127,0.064,0.018,0.233
2019:Q4,54541523,16099100,16283500,19039898,3119025,21694458,3.33,3.506,2.252,4.154,3.042,10146999,6136501,1481208,4398904,256388,5815713,1033990,678620,194530,2424146,2.514,0.742,0.751,0.878,0.144,0.468,0.283,0.068,0.203,0.012,0.268,0.048,0.031,0.009,0.112,0.295,0.299,0.349,0.057,0.623,0.377,0.241,0.717,0.042,0.573,0.102,0.067,0.019,0.239
2019:Q3,54094936,15962688,16192561,18844202,3095486,21505012,5.807,3.186,5.851,8.863,0.783,10128152,6064409,1478526,4334541,251342,5816955,1041411,674393,200412,2394981,2.515,0.742,0.753,0.876,0.144,0.471,0.282,0.069,0.202,0.012,0.27,0.048,0.031,0.009,0.111,0.295,0.299,0.348,0.057,0.625,0.375,0.244,0.715,0.041,0.574,0.103,0.067,0.02,0.236
2019:Q2,53324413,15839937,15959346,18435695,3089435,21289268,3.494,4.195,4.23,3.145,-1.734,9971381,5987965,1485335,4251805,250825,5725163,1034663,653313,203010,2355232,2.505,0.744,0.75,0.866,0.145,0.468,0.281,0.07,0.2,0.012,0.269,0.049,0.031,0.01,0.111,0.297,0.299,0.346,0.058,0.625,0.375,0.248,0.71,0.042,0.574,0.104,0.066,0.02,0.236
2019:Q1,52866599,15679252,15792592,18291866,3102889,21001591,5.781,2.111,6.735,9.557,-2.23,9864577,5928014,1477818,4202874,247323,5648129,1023713,645514,218420,2328801,2.517,0.747,0.752,0.871,0.148,0.47,0.282,0.07,0.2,0.012,0.269,0.049,0.031,0.01,0.111,0.297,0.299,0.346,0.059,0.625,0.375,0.249,0.709,0.042,0.573,0.104,0.065,0.022,0.236
2018:Q4,52116927,15602081,15529538,17865026,3120282,20813325,3.404,2.638,4.602,4.1,-2.595,9665937,5863601,1465184,4150657,247761,5559140,1003050,626489,196467,2280791,2.504,0.75,0.746,0.858,0.15,0.464,0.282,0.07,0.199,0.012,0.267,0.048,0.03,0.009,0.11,0.299,0.298,0.343,0.06,0.622,0.378,0.25,0.708,0.042,0.575,0.104,0.065,0.02,0.236
2018:Q3,51682003,15504408,15353194,17683747,3140654,20659102,3.96,3.131,5.01,4.442,0.258,9565251,5787943,1445730,4099222,242991,5529203,924209,603278,232290,2276271,2.502,0.75,0.743,0.856,0.152,0.463,0.28,0.07,0.198,0.012,0.268,0.045,0.029,0.011,0.11,0.3,0.297,0.342,0.061,0.623,0.377,0.25,0.708,0.042,0.578,0.097,0.063,0.024,0.238
2018:Q2,51173697,15381909,15163651,17489509,3138628,20492492,4.255,3.269,3.35,6.655,0.137,9450758,5712892,1425863,4047777,239252,5465717,926197,591321,233228,2234295,2.497,0.751,0.74,0.853,0.153,0.461,0.279,0.07,0.198,0.012,0.267,0.045,0.029,0.011,0.109,0.301,0.296,0.342,0.061,0.623,0.377,0.25,0.709,0.042,0.578,0.098,0.063,0.025,0.236
2018:Q1,50321144,15266071,14714237,17203280,3137556,20143716,6.994,3.239,4.599,14.364,-2.715,9072716,5641521,1407350,3996347,237825,5464154,900104,553584,227846,1927028,2.498,0.758,0.73,0.854,0.156,0.45,0.28,0.07,0.198,0.012,0.271,0.045,0.027,0.011,0.096,0.303,0.292,0.342,0.062,0.617,0.383,0.249,0.708,0.042,0.602,0.099,0.061,0.025,0.212
2017:Q4,49460142,15146992,14547213,16606939,3158998,19882965,4.033,5.197,5.372,1.999,3.098,8975798,5571415,1387291,3945158,238965,5394151,899629,536211,206670,1939137,2.488,0.762,0.732,0.835,0.159,0.451,0.28,0.07,0.198,0.012,0.271,0.045,0.027,0.01,0.098,0.306,0.294,0.336,0.064,0.617,0.383,0.249,0.708,0.043,0.601,0.1,0.06,0.023,0.216
2017:Q3,48899970,14958134,14282747,16524372,3134717,19558693,4.103,2.67,5.561,5.033,-0.487,8830239,5452508,1355327,3862660,234521,5361906,907881,515363,208973,1836116,2.5,0.765,0.73,0.845,0.16,0.451,0.279,0.069,0.197,0.012,0.274,0.046,0.026,0.011,0.094,0.306,0.292,0.338,0.064,0.618,0.382,0.249,0.708,0.043,0.607,0.103,0.058,0.024,0.208
2017:Q2,48409833,14864971,14087292,16319034,3138536,19322920,4.914,3.952,6.89,5.147,-0.476,8750396,5336896,1323611,3780232,233053,5293124,919658,535205,191769,1810640,2.505,0.769,0.729,0.845,0.162,0.453,0.276,0.068,0.196,0.012,0.274,0.048,0.028,0.01,0.094,0.307,0.291,0.337,0.065,0.621,0.379,0.248,0.708,0.044,0.605,0.105,0.061,0.022,0.207
2017:Q1,47830186,14727004,13849175,16111734,3142272,19153912,3.506,3.611,5.797,2.585,-2.165,8627712,5221464,1292154,3697802,231508,5219968,932172,544025,183634,1747913,2.497,0.769,0.723,0.841,0.164,0.45,0.273,0.067,0.193,0.012,0.273,0.049,0.028,0.01,0.091,0.308,0.29,0.337,0.066,0.623,0.377,0.247,0.708,0.044,0.605,0.108,0.063,0.021,0.203
2016:Q4,47357369,14601841,13587867,16008291,3159370,18968041,1.876,2.606,1.66,1.868,-0.509,8480356,5107511,1258441,3615247,233823,5109003,951779,570100,180783,1668691,2.497,0.77,0.716,0.844,0.167,0.447,0.269,0.066,0.191,0.012,0.269,0.05,0.03,0.01,0.088,0.308,0.287,0.338,0.067,0.624,0.376,0.246,0.708,0.046,0.602,0.112,0.067,0.021,0.197
2016:Q3,47147010,14513127,13536621,15933864,3163397,18775459,4.658,3.981,5.711,5.16,0.788,8529677,5006944,1229176,3548450,229319,5125173,987651,575786,151010,1690057,2.511,0.773,0.721,0.849,0.168,0.454,0.267,0.065,0.189,0.012,0.273,0.053,0.031,0.008,0.09,0.308,0.287,0.338,0.067,0.63,0.37,0.245,0.709,0.046,0.601,0.116,0.068,0.018,0.198
2016:Q2,46612165,14377544,13346522,15730920,3157179,18611617,4.715,3.461,4.318,6.7,2.305,8435157,4911365,1199556,3481535,230274,5046011,981060,549510,186629,1671947,2.504,0.773,0.717,0.845,0.17,0.453,0.264,0.064,0.187,0.012,0.271,0.053,0.03,0.01,0.09,0.308,0.286,0.337,0.068,0.632,0.368,0.244,0.709,0.047,0.598,0.116,0.065,0.022,0.198
2016:Q1,46077156,14261824,13204452,15471787,3139093,18425306,5.903,2.241,8.474,8.075,1.351,8390674,4813778,1171858,3414552,227368,4967229,985721,555094,185234,1697396,2.501,0.774,0.717,0.84,0.17,0.455,0.261,0.064,0.185,0.012,0.27,0.053,0.03,0.01,0.092,0.31,0.287,0.336,0.068,0.635,0.365,0.243,0.709,0.047,0.592,0.117,0.066,0.022,0.202
2015:Q4,45416538,14191329,12931056,15165626,3128527,18332079,5.289,3.046,6.051,8.165,-1.294,8210988,4720068,1139319,3347768,232981,4836709,956679,568482,179017,1670101,2.477,0.774,0.705,0.827,0.171,0.448,0.257,0.062,0.183,0.013,0.264,0.052,0.031,0.01,0.091,0.312,0.285,0.334,0.069,0.635,0.365,0.241,0.709,0.049,0.589,0.117,0.069,0.022,0.203
2015:Q3,44944817,14181385,12762514,14862239,3138678,18306960,2.479,0.643,5.412,2.143,0.582,8105107,4657408,1122401,3302799,232208,4790083,925245,518988,172778,1698013,2.455,0.775,0.697,0.812,0.171,0.443,0.254,0.061,0.18,0.013,0.262,0.051,0.028,0.009,0.093,0.316,0.284,0.331,0.07,0.635,0.365,0.241,0.709,0.05,0.591,0.114,0.064,0.021,0.209
2015:Q2,44677862,14168014,12592703,14783027,3134118,18193707,5.63,3.545,8.536,6.297,0.451,8000316,4592387,1106649,3257889,227849,4706070,913675,507945,154605,1718021,2.456,0.779,0.692,0.813,0.172,0.44,0.252,0.061,0.179,0.013,0.259,0.05,0.028,0.008,0.094,0.317,0.282,0.331,0.07,0.635,0.365,0.241,0.709,0.05,0.588,0.114,0.063,0.019,0.215
2015:Q1,44069739,14054975,12330254,14553921,3130589,17991348,3.783,1.728,7.377,3.126,2.092,7801319,4528935,1091840,3213410,223685,4544814,884657,483767,167312,1720769,2.449,0.781,0.685,0.809,0.174,0.434,0.252,0.061,0.179,0.012,0.253,0.049,0.027,0.009,0.096,0.319,0.28,0.33,0.071,0.633,0.367,0.241,0.71,0.049,0.583,0.113,0.062,0.021,0.221
2014:Q4,43695387,14018843,12121188,14441054,3114302,17852540,3.226,1.585,7.842,1.507,0.912,7648777,4472411,1075202,3169445,227764,4436975,865484,470369,182012,1693937,2.448,0.785,0.679,0.809,0.174,0.428,0.251,0.06,0.178,0.013,0.249,0.048,0.026,0.01,0.095,0.321,0.277,0.33,0.071,0.631,0.369,0.24,0.709,0.051,0.58,0.113,0.061,0.024,0.221
2014:Q3,43348433,13971027,11883331,14386859,3107215,17743227,3.066,-1.152,6.5,6.818,-7.699,7486604,4396727,1052045,3122700,221982,4340523,833693,461382,182924,1668082,2.443,0.787,0.67,0.811,0.175,0.422,0.248,0.059,0.176,0.013,0.245,0.047,0.026,0.01,0.094,0.322,0.274,0.332,0.072,0.63,0.37,0.239,0.71,0.05,0.58,0.111,0.062,0.024,0.223
2014:Q2,43035680,14022888,11698863,14145734,3168195,17462703,4.055,2.606,5.786,5.45,-1.981,7372643,4326220,1030991,3076434,218795,4291063,812121,467487,177492,1624480,2.464,0.803,0.67,0.81,0.181,0.422,0.248,0.059,0.176,0.013,0.246,0.047,0.027,0.01,0.093,0.326,0.272,0.329,0.074,0.63,0.37,0.238,0.711,0.051,0.582,0.11,0.063,0.024,0.22
2014:Q1,42616267,13943955,11532777,13955573,3183962,17144281,4.616,1.66,6.397,7.31,-0.424,7275427,4257349,1011341,3030360,215649,4217347,779946,472166,163148,1642820,2.486,0.813,0.673,0.814,0.186,0.424,0.248,0.059,0.177,0.013,0.246,0.045,0.028,0.01,0.096,0.327,0.271,0.327,0.075,0.631,0.369,0.238,0.712,0.051,0.58,0.107,0.065,0.022,0.226
2013:Q4,42144869,13900277,11352127,13705127,3187338,17133114,5.432,5.469,4.403,6.752,3.297,7162493,4189634,988998,2984083,216553,4153094,765461,487475,144511,1611952,2.46,0.811,0.663,0.8,0.186,0.418,0.245,0.058,0.174,0.013,0.242,0.045,0.028,0.008,0.094,0.33,0.269,0.325,0.076,0.631,0.369,0.236,0.712,0.052,0.58,0.107,0.068,0.02,0.225
2013:Q3,41608313,13728690,11240728,13477615,3161280,16911068,3.995,1.608,7.134,5.289,-2.045,7080284,4160444,983512,2965032,211900,4108728,731257,490878,153315,1596106,2.46,0.812,0.665,0.797,0.187,0.419,0.246,0.058,0.175,0.013,0.243,0.043,0.029,0.009,0.094,0.33,0.27,0.324,0.076,0.63,0.37,0.236,0.713,0.051,0.58,0.103,0.069,0.022,0.225
2013:Q2,41218781,13694627,11044903,13301727,3177524,16699551,2.727,0.89,5.038,3.9,-2.128,6910471,4134432,978068,2945871,210494,3997291,711246,466882,130314,1604738,2.468,0.82,0.661,0.797,0.19,0.414,0.248,0.059,0.176,0.013,0.239,0.043,0.028,0.008,0.096,0.332,0.268,0.323,0.077,0.626,0.374,0.237,0.713,0.051,0.578,0.103,0.068,0.019,0.232
2013:Q1,40965511,13688851,10908854,13173288,3194518,16629050,4.394,1.383,2.626,10.133,0.195,6801645,4107208,973180,2926627,207402,3941302,697785,463469,135344,1563745,2.463,0.823,0.656,0.792,0.192,0.409,0.247,0.059,0.176,0.012,0.237,0.042,0.028,0.008,0.094,0.334,0.266,0.322,0.078,0.623,0.377,0.237,0.713,0.05,0.579,0.103,0.068,0.02,0.23
2012:Q4,40547891,13667988,10839114,12847828,3192961,16420386,3.511,0.521,8.001,4.68,-3.252,6753909,4085205,967444,2907477,210284,3897060,711877,479607,130329,1535036,2.469,0.832,0.66,0.782,0.194,0.411,0.249,0.059,0.177,0.013,0.237,0.043,0.029,0.008,0.093,0.337,0.267,0.317,0.079,0.623,0.377,0.237,0.712,0.051,0.577,0.105,0.071,0.019,0.227
2012:Q3,40252177,13680871,10652941,12699232,3219134,16319540,4.767,0.736,6.515,8.941,0.108,6610699,4042242,952146,2883874,206223,3783621,684709,479098,112715,1550556,2.467,0.838,0.653,0.778,0.197,0.405,0.248,0.058,0.177,0.013,0.232,0.042,0.029,0.007,0.095,0.34,0.265,0.315,0.08,0.621,0.379,0.236,0.713,0.051,0.572,0.104,0.072,0.017,0.235
2012:Q2,39815565,13691667,10484055,12421579,3218265,16207130,5.394,-0.223,4.242,13.558,2.587,6483930,4000124,937240,2860209,202675,3680901,669144,504640,121582,1507663,2.457,0.845,0.647,0.766,0.199,0.4,0.247,0.058,0.176,0.013,0.227,0.041,0.031,0.008,0.093,0.344,0.263,0.312,0.081,0.618,0.382,0.234,0.715,0.051,0.568,0.103,0.078,0.019,0.233
2012:Q1,39328869,13741139,10375804,12014344,3197582,16068824,4.866,1.093,3.391,11.9,0.152,6420477,3955327,921225,2836406,197697,3620952,640558,536186,114324,1508457,2.448,0.855,0.646,0.748,0.199,0.4,0.246,0.057,0.177,0.012,0.225,0.04,0.033,0.007,0.094,0.349,0.264,0.305,0.081,0.619,0.381,0.233,0.717,0.05,0.564,0.1,0.084,0.018,0.235
2011:Q4,38895250,13735594,10296039,11667250,3196367,15842267,3.542,0.575,3.822,7.551,1.037,6383624,3912415,901515,2812490,198410,3544036,629420,576157,116307,1517704,2.455,0.867,0.65,0.736,0.202,0.403,0.247,0.057,0.178,0.013,0.224,0.04,0.036,0.007,0.096,0.353,0.265,0.3,0.082,0.62,0.38,0.23,0.719,0.051,0.555,0.099,0.09,0.018,0.238
2011:Q3,38589958,13750490,10200295,11451071,3188103,15647681,4.581,-1.599,2.886,15.078,0.458,6273637,3926657,908528,2822140,195989,3506543,584095,574179,109177,1499643,2.466,0.879,0.652,0.732,0.204,0.401,0.251,0.058,0.18,0.013,0.224,0.037,0.037,0.007,0.096,0.356,0.264,0.297,0.083,0.615,0.385,0.231,0.719,0.05,0.559,0.093,0.092,0.017,0.239
2011:Q2,38189411,13840918,10128939,11035097,3184456,15557535,3.63,-0.294,3.069,11.117,-2.68,6181049,3947890,915708,2831654,200528,3464113,529849,597338,101762,1487987,2.455,0.89,0.651,0.709,0.205,0.397,0.254,0.059,0.182,0.013,0.223,0.034,0.038,0.007,0.096,0.362,0.265,0.289,0.083,0.61,0.39,0.232,0.717,0.051,0.56,0.086,0.097,0.016,0.241
2011:Q1,37886517,13890159,10053718,10736707,3205933,15351444,2.604,1.827,-0.178,7.908,-2.692,6085209,3968509,924426,2841118,202966,3408834,505089,627950,89378,1453958,2.468,0.905,0.655,0.699,0.209,0.396,0.259,0.06,0.185,0.013,0.222,0.033,0.041,0.006,0.095,0.367,0.265,0.283,0.085,0.605,0.395,0.233,0.716,0.051,0.56,0.083,0.103,0.015,0.239
2010:Q4,37682500,13866178,10060105,10528562,3227655,15309471,4.016,1.291,0.751,10.365,5.804,6073388,3986717,927538,2852938,206242,3385239,482473,673336,82928,1449412,2.461,0.906,0.657,0.688,0.211,0.397,0.26,0.061,0.186,0.013,0.221,0.032,0.044,0.005,0.095,0.368,0.267,0.279,0.086,0.604,0.396,0.233,0.716,0.052,0.557,0.079,0.111,0.014,0.239
2010:Q3,37439539,13858761,10136657,10262633,3181489,15141605,4.69,-1.354,1.586,17.45,1.586,6138109,3998548,932627,2856994,208927,3339218,469486,675092,97592,1556721,2.473,0.915,0.669,0.678,0.21,0.405,0.264,0.062,0.189,0.014,0.221,0.031,0.045,0.006,0.103,0.37,0.271,0.274,0.085,0.606,0.394,0.233,0.715,0.052,0.544,0.076,0.11,0.016,0.254
2010:Q2,37049103,13947619,10098916,9833644,3168923,14980193,4.993,-0.269,-2.586,22.625,0.774,6096360,4002556,937682,2861024,203850,3270441,473908,703110,86651,1562250,2.473,0.931,0.674,0.656,0.212,0.407,0.267,0.063,0.191,0.014,0.218,0.032,0.047,0.006,0.104,0.376,0.273,0.265,0.086,0.604,0.396,0.234,0.715,0.051,0.536,0.078,0.115,0.014,0.256
2010:Q1,36641726,14004663,10167067,9307196,3162800,14764611,3.403,-2.094,-2.626,19.118,3.123,6157000,4010068,943299,2865072,201697,3244612,507370,743756,70974,1590288,2.482,0.949,0.689,0.63,0.214,0.417,0.272,0.064,0.194,0.014,0.22,0.034,0.05,0.005,0.108,0.382,0.277,0.254,0.086,0.606,0.394,0.235,0.714,0.05,0.527,0.082,0.121,0.012,0.258
